sub,ses,task,n_targets,n_presses,best_shift_s,hits_at_best,median_hits_grid,second_peak_hits,accepted,rt_median_s,button_duration_s
sub-001,ses-01,nback,18,29,5.75,15,3.0,8,True,1.205573139610351,215.00136433687655
sub-001,ses-01,nbackarithmetic,18,12,-0.25,6,1.0,6,False,1.236953890760546,215.00136433687655
sub-001,ses-02,nback,18,21,-21.75,10,3.0,6,True,0.868887869009086,215.00469071725638
sub-001,ses-02,nbackarithmetic,18,10,5.25,9,1.0,4,True,0.6937724112049182,215.00469071725638
sub-001,ses-03,nback,18,19,4.25,15,3.0,7,True,0.5344202813575976,215.00475358986296
sub-001,ses-03,nbackarithmetic,18,11,5.25,7,1.0,5,False,0.8250402855337597,215.00475358986296
sub-002,ses-01,nback,18,28,6.25,15,3.0,8,True,0.6066355205020955,215.0030106414761
sub-002,ses-01,nbackarithmetic,18,17,5.5,11,2.0,7,False,0.6038534495955901,215.0030106414761
sub-002,ses-02,nback,18,19,-21.75,9,3.0,7,False,1.2601622779666286,215.00483605129648
sub-002,ses-02,nbackarithmetic,18,11,5.5,9,1.0,5,True,0.339125821822563,215.00483605129648
sub-002,ses-03,nback,18,21,4.0,17,2.0,7,True,0.8264221854042262,215.00604378977732
sub-002,ses-03,nbackarithmetic,18,16,5.25,13,2.0,5,True,0.6558342084172182,215.00604378977732
sub-003,ses-01,nback,18,17,5.75,11,2.0,5,True,1.1406523866444047,215.00087246149448
sub-003,ses-01,nbackarithmetic,18,5,-13.5,3,0.0,3,False,0.9183785406021343,215.00087246149448
sub-003,ses-02,nback,18,9,-21.5,6,1.0,4,False,0.9835682390075817,215.0013323045387
sub-003,ses-03,nback,18,9,4.0,9,2.0,5,True,1.1501159771578386,215.00482924374228
sub-003,ses-03,nbackarithmetic,18,9,5.5,7,1.0,4,False,1.1127433547371766,215.00482924374228
sub-004,ses-01,nback,18,21,5.75,16,3.0,6,True,1.0069987847195705,215.00142403271045
sub-004,ses-01,nbackarithmetic,18,15,5.0,12,2.0,6,True,0.8330216239285058,215.00142403271045
sub-004,ses-02,nback,18,15,-22.25,5,1.0,4,False,1.3589631407812703,215.00191561054456
sub-004,ses-03,nback,18,20,3.75,15,3.0,6,True,1.0358030623601735,215.0011136227231
sub-004,ses-03,nbackarithmetic,18,14,5.25,8,1.0,4,True,0.7502086436775244,215.0011136227231
sub-005,ses-01,nback,18,15,6.25,6,2.0,4,False,0.8859034895986042,215.0047270505056
sub-005,ses-01,nbackarithmetic,18,7,4.75,6,1.0,3,False,1.123994290527662,215.0047270505056
sub-005,ses-02,nback,18,17,-6.75,4,1.0,3,False,1.2722114236494235,215.00525837506575
sub-005,ses-02,nbackarithmetic,18,13,5.0,12,1.0,5,True,0.8715363507235452,215.00525837506575
sub-005,ses-03,nback,18,21,4.0,16,2.0,6,True,0.8613440645135455,215.00069474087738
sub-005,ses-03,nbackarithmetic,18,6,4.5,4,0.0,3,False,1.345879041750777,215.00069474087738
sub-006,ses-01,nback,18,18,4.75,15,2.0,5,True,1.1519704765360075,215.00121344753916
sub-006,ses-01,nbackarithmetic,18,12,5.0,11,2.0,5,True,0.8229911141834236,215.00121344753916
sub-006,ses-02,nback,18,18,-21.5,7,2.0,6,False,0.7951491027174598,215.0007962024033
sub-006,ses-03,nback,18,16,3.75,14,2.0,7,True,1.1615345400209662,215.00364446859658
sub-006,ses-03,nbackarithmetic,18,16,5.5,15,2.0,6,True,0.5676951399509562,215.00364446859658
sub-007,ses-01,nback,18,21,6.5,12,2.0,7,True,0.5050108940290556,215.00076270054615
sub-007,ses-01,nbackarithmetic,18,10,5.25,6,1.0,5,False,0.9523499835481744,215.00076270054615
sub-007,ses-02,nback,18,16,-22.0,8,2.0,6,False,1.1483831003006344,215.00609026349503
sub-007,ses-03,nback,18,17,4.25,14,2.0,6,True,0.578695771776438,215.0015864435727
sub-007,ses-03,nbackarithmetic,18,13,5.25,11,1.0,5,True,0.8829056684544412,215.0015864435727
sub-008,ses-03,nback,18,22,4.0,17,3.0,9,True,0.9314078763127327,215.00130067113784
sub-008,ses-03,nbackarithmetic,18,2,5.0,2,0.0,1,False,1.3193989531136907,215.00130067113784
sub-009,ses-01,nback,18,24,3.75,16,3.0,7,True,1.136289666988887,215.00139707769267
sub-009,ses-01,nbackarithmetic,18,15,6.75,7,2.0,6,False,0.899108289508149,215.00139707769267
sub-009,ses-02,nback,18,20,-20.75,8,3.0,7,False,0.3423003071220734,215.00265777879397
sub-009,ses-02,nbackarithmetic,18,16,5.75,9,2.0,6,False,0.7551607482601099,215.00265777879397
sub-009,ses-03,nback,18,23,4.25,17,3.0,7,True,0.6135592786595225,215.001953269355
sub-009,ses-03,nbackarithmetic,18,13,5.5,10,1.0,6,True,0.7336221346631646,215.001953269355
sub-010,ses-01,nback,18,17,3.75,14,2.0,5,True,0.9945118377595463,215.00201647097788
sub-010,ses-01,nbackarithmetic,18,11,5.0,11,1.0,6,True,0.9928021150742552,215.00201647097788
sub-010,ses-02,nback,18,19,-22.0,8,3.0,7,False,1.1594616110014613,215.0003118087116
sub-010,ses-02,nbackarithmetic,18,12,4.5,11,1.0,5,True,1.3066457256500144,215.0003118087116
sub-010,ses-03,nback,18,17,3.5,16,2.0,6,True,1.150852001529529,215.0034303637749
sub-010,ses-03,nbackarithmetic,18,13,4.75,10,1.0,5,True,1.1833089791643943,215.0034303637749
sub-011,ses-01,nback,18,20,4.5,14,2.0,6,True,0.699551099589371,215.00547824988823
sub-011,ses-01,nbackarithmetic,18,12,5.75,6,2.0,4,False,0.8570806699517561,215.00547824988823
sub-011,ses-02,nback,18,16,-21.5,6,2.0,5,False,1.1054562799399719,215.00316762115108
sub-011,ses-02,nbackarithmetic,18,15,5.75,13,2.0,4,True,0.5936284242779948,215.00316762115108
sub-011,ses-03,nback,18,22,4.5,17,3.0,7,True,0.641127373521158,215.00360631732477
sub-011,ses-03,nbackarithmetic,18,11,6.0,11,1.0,5,True,0.307179008195817,215.00360631732477
sub-013,ses-01,nback,18,19,4.25,16,2.0,5,True,0.829600986467085,215.00160570750268
sub-013,ses-02,nback,18,19,-21.75,8,2.0,6,False,1.2943688379382365,215.00155327485118
sub-013,ses-03,nback,18,14,4.0,12,2.0,6,True,0.9190832282674819,215.0014940925821
sub-014,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0049509536475
sub-014,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0050510186702
sub-015,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00109105836597
sub-015,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0048677136656
sub-015,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.03533465694636
sub-016,ses-01,nback,18,22,4.0,14,3.0,6,True,0.998481691814959,215.000913082622
sub-016,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.000913082622
sub-016,ses-02,nback,18,17,23.0,7,3.0,6,False,1.19159128610044,215.00077960081396
sub-016,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00077960081396
sub-016,ses-03,nback,18,16,4.25,16,2.0,7,True,0.7293128428282216,215.00666407775134
sub-016,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00666407775134
sub-017,ses-01,nback,18,51,3.75,17,7.0,10,True,1.0578636815771176,215.001669479534
sub-017,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.001669479534
sub-017,ses-02,nback,18,55,12.75,14,8.0,13,False,1.1119459341280162,215.00282092834823
sub-017,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00282092834823
sub-017,ses-03,nback,18,56,4.5,17,7.0,14,False,0.4384246841073036,215.00263553112745
sub-017,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00263553112745
sub-018,ses-01,nback,18,42,3.75,13,5.0,11,False,1.0397423803806305,215.001254202798
sub-018,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.001254202798
sub-018,ses-02,nback,18,39,-8.5,11,5.0,11,False,0.27328457310795784,215.00370341911912
sub-018,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00370341911912
sub-018,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0057974604424
sub-019,ses-01,nback,18,24,4.5,14,2.0,8,True,0.47721470857504755,215.00626190076582
sub-019,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00626190076582
sub-019,ses-02,nback,18,20,-21.0,8,3.0,7,False,0.39223793894052505,215.0035106060095
sub-019,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0035106060095
sub-019,ses-03,nback,18,18,4.0,17,3.0,8,True,0.9743461338803172,215.0023833909072
sub-019,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0023833909072
sub-020,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00027672664146
sub-020,ses-02,nback,18,24,-22.0,8,3.0,8,False,1.222072389209643,215.00241305446252
sub-020,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00241305446252
sub-020,ses-03,nback,18,33,4.25,16,5.0,11,False,1.0386238526261877,215.00183571246453
sub-021,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0052516302094
sub-021,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00716935982928
sub-021,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0063826162368
sub-022,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00037982713548
sub-022,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00347794702975
sub-023,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0010631849218
sub-023,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00109621498268
sub-024,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00252355111297
sub-024,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00284106703472
sub-024,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.000659477897
sub-025,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00378662254658
sub-025,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00115502160043
sub-025,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0056419160683
sub-026,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0028596073389
sub-026,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00090175122023
sub-026,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00072964769785
sub-027,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00143959419802
sub-027,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00135258235966
sub-027,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00567899784073
sub-028,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00565379788168
sub-028,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00293216668067
sub-029,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0044895033352
sub-029,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.002524292795
sub-029,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00141190947033
sub-030,ses-01,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.00265576178208
sub-030,ses-02,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0045653153211
sub-030,ses-03,nbackarithmetic,18,0,-30.0,0,0.0,0,False,,215.0005012806505
