sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-001,ses-01,activemotor,250.00100000400002,21,19,527.3258781215219,216,0.9923281809017415,60.74501604637645,100.08062367970864,declared_unverified
sub-001,ses-01,full,250.00100000400002,21,20,528.6136527367314,220,0.9876287284299579,61.881755486616875,94.16996967750512,declared_unverified
sub-001,ses-01,mentalarithmetic,250.00100000400002,21,20,634.3749981267007,227,0.9952956059378151,63.64818084057806,82.40564611297584,declared_unverified
sub-001,ses-01,motorimagery,250.00100000400002,21,20,561.0765854806613,209,0.9882068945069281,58.73915306855726,111.13662607237464,declared_unverified
sub-001,ses-01,nback,250.00100000400002,21,20,759.9916493002363,260,0.9749807277974343,74.41997875560317,48.701198143821465,event_matched
sub-001,ses-01,nbackarithmetic,250.00100000400002,21,20,533.7617710294924,235,0.9900328121602656,65.95967299541962,97.80292650030079,declared_unverified
sub-001,ses-01,passivemotor,250.00100000400002,21,19,534.2035858730211,208,0.9934054476092585,58.15084543257939,124.65039712197313,declared_unverified
sub-001,ses-02,activemotor,250.00125000625005,21,20,544.5165402919057,210,0.9887293763670735,58.708137970554304,110.18740799568593,declared_unverified
sub-001,ses-02,full,250.00125000625005,21,20,600.5953430641775,189,0.9675366449914388,53.360109818180014,154.35608687635718,declared_unverified
sub-001,ses-02,mentalarithmetic,250.00125000625005,21,20,618.137341141372,216,0.990966180706078,60.546917208428106,96.06564808527585,declared_unverified
sub-001,ses-02,motorimagery,250.00125000625005,21,19,552.0841587175029,196,0.9903401724120867,54.9493581791694,129.9020429233466,declared_unverified
sub-001,ses-02,nback,250.00125000625005,21,19,527.6164244683539,190,0.8870611756089354,59.459416294421736,,event_matched
sub-001,ses-02,nbackarithmetic,250.00125000625005,21,20,648.2543832307659,190,0.9736779595593693,54.45661855740232,126.46635686654444,event_matched
sub-001,ses-02,passivemotor,250.00125000625005,21,18,570.3309913786344,200,0.9848471352078941,56.105931006641626,139.57042194877215,declared_unverified
sub-001,ses-03,activemotor,250.00075000225,21,19,733.6605998562583,189,0.9856988633388766,52.9431278880545,153.91573124388603,declared_unverified
sub-001,ses-03,mentalarithmetic,250.00075000225,21,20,738.8066689208829,190,0.970111222752171,53.218477362187244,136.03054581611556,declared_unverified
