file,n_signals,duration_s,start,fs_set,ecg_labels,ecg_dim,eeg_dim,ecg_std,ecg_absmax,eeg0_std,labels
Subject00_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.12501284663278553,0.654943,9.186276034129262,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject00_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11459155908329209,0.611228,16.1300526076849,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject01_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08321437295240905,0.916526,7.99951598765801,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject01_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08918289914434842,0.6145860541542685,13.932997392498772,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject02_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.01592893527179632,0.10113000000000001,10.857519537089686,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject02_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09325972373271653,0.45589316832227056,9.525880286915049,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject03_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.0680236129816437,0.4233430000000001,11.880512875302976,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject03_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07043711497667661,0.435738,10.15992609132385,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject04_1.edf,21,170.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07804369402373591,0.7476600000000001,12.967719051883648,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject04_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07677328599414139,0.32392,10.549883836014848,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject05_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.13779693681630661,0.635614,17.42665973043931,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject05_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.13708543780705332,0.64386,17.76501064404693,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
