subject,file,condition,fs,duration_s,eeg_units,ecg_units,n_beats,n_valid_rr,beat_coverage,hr_whole,rmssd_whole,r_amp_mV,ecg_std_mV,eeg_std_uV_median
Subject00,Subject00_1.edf,baseline,500.0,182.0,uV,mV,229,228,0.9863956043956044,76.20151066152715,29.98207981665211,0.5831834463187611,0.12501284663278553,11.670429215741535
Subject00,Subject00_2.edf,task,500.0,62.0,uV,mV,101,100,0.963516129032258,100.43858180722488,27.501331464553147,0.5414969355001145,0.11459155908329209,11.924539110881902
Subject01,Subject01_1.edf,baseline,500.0,182.0,uV,mV,268,266,0.982934065934066,89.21484230885328,26.138616503696102,0.2664107743648432,0.08321437295240905,9.976484188621944
Subject01,Subject01_2.edf,task,500.0,62.0,uV,mV,118,115,0.9119677419354839,122.03317887587988,15.002380763446412,0.17525305514610517,0.08918289914434842,11.195297570298163
Subject02,Subject02_1.edf,baseline,500.0,182.0,uV,mV,309,171,0.4949780219780222,113.89117065914787,,0.018880088273441672,0.01592893527179632,11.291729564656478
Subject02,Subject02_2.edf,task,500.0,62.0,uV,mV,95,94,0.9660322580645162,94.16636057034093,24.86695782354291,0.40441020407415884,0.09325972373271653,10.172535010419988
Subject03,Subject03_1.edf,baseline,500.0,182.0,uV,mV,187,187,0.9913626373626373,62.185470104418386,91.09406694323091,0.3783274217669948,0.0680236129816437,10.973990599883857
Subject03,Subject03_2.edf,task,500.0,62.0,uV,mV,67,66,0.9593225806451613,66.57923938262887,85.94488394851074,0.3738046171663997,0.07043711497667661,8.263083654880525
Subject04,Subject04_1.edf,baseline,500.0,170.0,uV,mV,223,221,0.9768588235294116,79.84777136801033,59.462739186806694,0.2771821423437858,0.07804369402373591,15.62712802980314
Subject04,Subject04_2.edf,task,500.0,62.0,uV,mV,89,88,0.9641935483870968,88.32385413181666,38.65497246864516,0.23166205901426717,0.07677328599414139,12.602612962932945
Subject05,Subject05_1.edf,baseline,500.0,182.0,uV,mV,291,290,0.9865714285714284,96.90570072846356,24.134857560818432,0.5900273223468375,0.13779693681630661,9.996750902865056
Subject05,Subject05_2.edf,task,500.0,62.0,uV,mV,105,104,0.9609677419354838,104.73313192346426,16.955681809678676,0.5697072819104295,0.13708543780705332,10.215506283845489
Subject06,Subject06_1.edf,baseline,500.0,182.0,uV,mV,219,216,0.9816153846153848,72.54245636817535,25.838101258327068,0.24452896506446936,0.11691834828057478,7.636094697861169
Subject06,Subject06_2.edf,task,500.0,62.0,uV,mV,80,80,0.9513870967741936,81.37524158274844,28.597601032431964,0.23532131618219274,0.08847357772090858,6.3551395729016775
Subject07,Subject07_1.edf,baseline,500.0,182.0,uV,mV,243,241,0.9817472527472527,80.92770234723918,38.41093594277631,0.30232012188143736,0.06026664492855011,9.322332236303794
Subject07,Subject07_2.edf,task,500.0,62.0,uV,mV,102,100,0.9607741935483871,100.72522159548751,21.825756260978224,0.31021026196688795,0.06059395307193257,10.065403059048494
Subject08,Subject08_1.edf,baseline,500.0,182.0,uV,mV,222,218,0.9661538461538464,74.38580527752501,34.13652480234869,0.8432285623712521,0.16732773945688337,7.746053234678851
Subject08,Subject08_2.edf,task,500.0,62.0,uV,mV,93,92,0.9564838709677418,93.0828639843513,10.84962145488408,0.7674996417486839,0.1652825694178912,7.315401636259954
Subject09,Subject09_1.edf,baseline,500.0,182.0,uV,mV,226,225,0.9848021978021978,75.32053070288003,31.692157659945654,0.6998845840695811,0.14716003190384744,10.758606689967307
Subject09,Subject09_2.edf,task,500.0,62.0,uV,mV,83,82,0.9738064516129034,81.48933351000396,30.603104417688993,0.7141697294575418,0.1484633097300232,8.636628822488065
Subject10,Subject10_1.edf,baseline,500.0,188.0,uV,mV,179,179,0.9881382978723403,57.81342520320827,123.2223713819399,0.6737838720531014,0.11935617127645431,10.057067503620233
Subject10,Subject10_2.edf,task,500.0,62.0,uV,mV,65,64,0.9779032258064517,63.334982681840664,108.95485895692123,0.6658674128633555,0.12579574056109535,8.521477145714307
Subject11,Subject11_1.edf,baseline,500.0,182.0,uV,mV,264,261,0.9782197802197802,87.959738479858,25.09072341612402,0.662302912489509,0.24666763258927635,7.014013862199831
Subject11,Subject11_2.edf,task,500.0,62.0,uV,mV,106,105,0.9606451612903225,105.77568838146408,18.773959051343528,0.5916222558937972,0.11332086815349666,5.887783411772631
Subject12,Subject12_1.edf,baseline,500.0,182.0,uV,mV,211,210,0.9857362637362637,70.2325477692805,47.05570352730632,0.5794604575875486,0.13613395897898148,9.893022484882744
Subject12,Subject12_2.edf,task,500.0,62.0,uV,mV,79,79,0.980516129032258,77.97078562968812,43.57545768916873,0.5462899540321965,0.12499448156904192,10.994765809020704
Subject13,Subject13_1.edf,baseline,500.0,182.0,uV,mV,345,217,0.5640549450549449,126.82888815289607,,0.024463335622186617,0.022273314231762154,6.850308159733152
Subject13,Subject13_2.edf,task,500.0,62.0,uV,mV,82,81,0.9560645161290322,81.98933801201161,31.58243182530425,0.4149053209735256,0.08084145548015677,8.243717020668425
Subject14,Subject14_1.edf,baseline,500.0,182.0,uV,mV,212,211,0.9871868131868132,70.46329897366253,62.77457780859802,0.3336929181963836,0.10072895841098609,10.720493765648515
Subject14,Subject14_2.edf,task,500.0,62.0,uV,mV,97,96,0.9594838709677419,96.82625067240451,29.22003638457279,0.34040443531700615,0.10298340956944899,11.240761948961552
Subject15,Subject15_1.edf,baseline,500.0,182.0,uV,mV,213,213,0.9884505494505494,71.04025614514892,34.66959953728339,0.35006794943160147,0.10663704588651174,14.047721675717074
Subject15,Subject15_2.edf,task,500.0,62.0,uV,mV,75,75,0.9595806451612903,75.63787945002858,32.87815343009685,0.34868886617074846,0.10628931138726726,11.50899777604204
Subject16,Subject16_1.edf,baseline,500.0,182.0,uV,mV,262,261,0.986164835164835,87.25108924571825,22.184540701890896,0.3961566927443351,0.08300381891291368,8.822106318069007
Subject16,Subject16_2.edf,task,500.0,62.0,uV,mV,103,102,0.961967741935484,102.61225311022433,12.204527645489312,0.3809594986495766,0.08256865699129805,7.634435144854561
Subject17,Subject17_1.edf,baseline,500.0,182.0,uV,mV,247,245,0.9804285714285713,82.38155549826831,45.035331351716216,0.30194822846570535,0.07463172652120799,8.404894411124827
