participant,file,bytes,sha256_ok,n_rows_read,rows_missing,n_samples,lengths_equal,fs,time_monotonic,max_time_gap_s,span_s,n_eeg_names,eeg_shape,eeg_n_nan,eeg_filtered_sd_uV_median,eeg_filtered_sd_uV_min,eeg_filtered_sd_uV_max,flat_channels,eye_rows_nonconstant,eye_row_ranges,n_markers,marker_times_s,marker_values,marker_intervals_s,n_working_start_candidates,eeg_working_start_s,transition_deviation_s,rest_marker_before_start_s,eeg_coverage_after_start_s,timing_ambiguous_boundaries,n_bins,eeg_ok_fraction,eeg_ok_fraction_by_block,alpha_parietal_minus_frontal_log10,status,channel_robust_sd_uV,channel_p99_uV,channels_retained,channels_rejected,n_channels_retained,raw_power_55_65Hz_over_8_13Hz,retained_per_group,max_abs_transition_deviation_s,layout,marker_row_is_binary,blocks_truncated
p01,EEGfNIRSeye_p1-p5/p01/p01.csv,606286984,True,42,[],504214,True,249.9999999988063,True,0.0040000000001327,2016.852,32,"[32, 504214]",0,335.04037525318404,12.571780348239932,26913.1831904655,[],8,"[[0.0, 5.99], [0.0, 7.14], [-0.7238, 0.6373], [-0.5778, 0.6523], [0.0, 1.0], [-0.8248, 0.7061], [-0.7389, 0.6769], [0.0, 1.0]]",5.0,"[203.388, 562.448, 920.504, 1280.104, 1640.068]","[1.0, 1.0, 1.0, 1.0, 1.0]","[359.06, 358.06, 359.6, 359.96]",1.0,203.388,"[-0.9400000000000546, -2.8840000000000146, -3.283999999999878, -3.3199999999999363]",,1813.464,[],176.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",-0.0158776842782218,ok,"[10.2, 9.1, 10.5, 9.1, 9.5, 182.2, 9.3, 224.0, 121.8, 9.7, 124.1, 138.6, 0.0, 9.3, 0.0, 109.5, 13088.7, 7.6, 8.6, 7.7, 111.1, 137.2, 8.4, 8.5, 9.0, 8.0, 155.4, 53.8, 8.7, 8.7, 80.3, 101.9]","[77.7, 74.3, 66.2, 61.8, 44.9, 5673.2, 45.2, 5050.6, 3962.5, 43.1, 940.1, 3544.0, 2.1, 39.8, 0.0, 1096.3, 100343.0, 36.2, 34.2, 31.5, 3521.2, 3318.1, 34.1, 32.1, 32.7, 30.8, 3211.5, 458.8, 33.6, 32.9, 844.0, 2180.3]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'F4', 'FC5', 'C5', 'C6', 'CP3', 'CP4', 'P7', 'P3', 'PZ', 'P4', 'PO3', 'PO4']","['FZ', 'FT7', 'FT8', 'FC3', 'FC4', 'FC6', 'C1', 'CZ', 'C2', 'CP1', 'CP2', 'P8', 'PO7', 'PO8', 'OZ']",17.0,0.0002851854389611,"{'frontal': 7, 'central': 4, 'parietal': 6, 'occipital': 0}",,,,
p02,EEGfNIRSeye_p1-p5/p02/p02.csv,600437260,True,42,[],503556,True,249.9999999988063,True,0.0040000000001327,2014.22,32,"[32, 503556]",0,16.17672910762773,9.683653866838492,118.54764222799427,[],8,"[[0.0, 6.21], [0.0, 5.78], [-0.6133, 0.6368], [-0.558, 0.6387], [0.0, 0.9999], [-0.7512, 0.5619], [-0.4027, 0.825], [0.0, 1.0]]",5.0,"[241.524, 603.316, 961.464, 1271.32, 1631.404]","[1.0, 1.0, 1.0, 1.0, 1.0]","[361.79, 358.15, 309.86, 360.08]",1.0,241.524,"[1.79200000000003, -0.05999999999994543, -50.20399999999995, -50.11999999999989]",,1772.696,"['challenge_2', 'recovery_2']",175.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",0.0956318368061168,ok,"[9.2, 8.1, 9.7, 6.9, 9.1, 9.0, 8.3, 8.4, 6.6, 8.2, 8.8, 6.8, 6.6, 8.2, 0.0, 8.6, 8.3, 6.7, 8.6, 7.8, 8.5, 8.2, 8.3, 8.6, 8.7, 8.3, 7.2, 8.8, 9.3, 8.9, 8.7, 8.9]","[47.7, 51.8, 54.7, 41.6, 35.3, 32.7, 28.9, 40.0, 26.4, 32.6, 32.4, 25.4, 25.4, 32.7, 0.0, 29.1, 28.0, 26.4, 29.9, 27.1, 28.8, 27.8, 28.7, 29.1, 28.2, 27.7, 25.1, 29.3, 29.9, 29.1, 29.5, 35.5]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']",['C1'],31.0,9.031493357227514e-05,"{'frontal': 13, 'central': 8, 'parietal': 9, 'occipital': 1}",50.20399999999995,,,
p03,EEGfNIRSeye_p1-p5/p03/p03.csv,588733766,True,42,[],490421,True,249.9999999988063,True,0.0040000000001327,1961.68,32,"[32, 490421]",0,10.418534343338658,6.122257043430799,16699.980136698516,[],8,"[[0.0, 6.03], [0.0, 6.5], [-0.5653, 0.6225], [-0.3614, 0.5846], [0.0, 1.0], [-0.4659, 0.4375], [-0.4276, 0.7146], [0.0, 1.0]]",5.0,"[137.92, 498.468, 858.312, 1218.088, 1578.288]","[1.0, 1.0, 1.0, 1.0, 1.0]","[360.55, 359.84, 359.78, 360.2]",3.0,137.92,"[0.5480000000000587, 0.39200000000005275, 0.16799999999989268, 0.36799999999993815]",,1823.76,[],177.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",0.0897597054397041,ok,"[8.0, 7.2, 8.2, 6.1, 8.0, 7.9, 0.0, 8.3, 4.7, 7.5, 0.0, 6.4, 5.0, 7.3, 7.4, 7.4, 2729.2, 5.4, 7.2, 6.4, 7.2, 64.7, 7.3, 7.3, 7.4, 6.6, 5.4, 43.3, 7.7, 7.0, 6.3, 6.6]","[42.3, 49.8, 38.4, 35.5, 31.2, 29.9, 0.0, 34.8, 21.0, 28.8, 0.0, 22.3, 20.5, 27.3, 25.6, 24.9, 75655.9, 20.5, 25.6, 22.4, 25.4, 2574.2, 32.8, 27.3, 26.2, 24.2, 22.5, 924.5, 31.1, 28.2, 28.0, 39.5]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'FZ', 'FT7', 'FT8', 'FC5', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C6', 'CP3', 'CP4', 'CP1', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO3', 'PO4', 'PO8', 'OZ']","['F4', 'FC3', 'C2', 'CP2', 'PO7']",27.0,6.970257544245233e-05,"{'frontal': 11, 'central': 7, 'parietal': 8, 'occipital': 1}",0.5480000000000587,,,
p04,EEGfNIRSeye_p1-p5/p04/p04.csv,583321075,True,42,[],495146,True,249.9999999988063,True,0.0040000000001327,1980.58,32,"[32, 495146]",0,25.5911900292784,20.003549739464408,24552.09302992203,[],8,"[[0.0, 7.7], [0.0, 7.08], [-0.7553, 0.8688], [-0.7518, 0.6601], [0.0, 1.0], [-0.9035, 0.6109], [-0.6304, 0.7344], [0.0, 0.9999]]",5.0,"[153.564, 515.68, 875.456, 1235.608, 1595.884]","[1.0, 1.0, 1.0, 1.0, 1.0]","[362.12, 359.78, 360.15, 360.28]",3.0,153.564,"[2.1159999999999854, 1.8920000000000528, 2.043999999999869, 2.3199999999999363]",,1827.016,[],178.0,0.8370786516853933,"{'challenge_1': 0.743, 'challenge_2': 0.694, 'recovery_1': 0.861, 'recovery_2': 0.943, 'working_baseline': 0.944}",-0.0468744543239703,ok,"[39.8, 34.1, 30.6, 30.1, 21.3, 18.4, 18.0, 17.1, 11.4, 17.1, 16.9, 11.5, 11.4, 15.8, 14.0, 73.8, 3564.4, 11.5, 13.7, 144.2, 12.4, 11.9, 11.0, 12.4, 12.0, 10.7, 10.1, 11.2, 11.5, 10.1, 9.9, 9.8]","[313.1, 304.0, 192.7, 239.0, 139.2, 124.9, 137.1, 92.2, 65.9, 91.0, 86.1, 65.6, 65.7, 77.7, 64.1, 4738.2, 113367.2, 67.0, 61.3, 11511.2, 53.4, 50.0, 52.6, 53.1, 47.7, 45.0, 68.3, 48.7, 48.2, 42.8, 42.8, 47.9]","['F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'C6', 'CP3', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']","['AF3', 'AF4', 'CZ', 'C2', 'CP4']",27.0,0.0001056437801553,"{'frontal': 11, 'central': 6, 'parietal': 9, 'occipital': 1}",2.3199999999999363,,,
p05,EEGfNIRSeye_p1-p5/p05/p05.csv,577130685,True,42,[],482341,True,249.9999999988063,True,0.0040000000001327,1929.36,32,"[32, 482341]",0,140.57094357836627,54.81261213939787,1432.0320062628043,[],8,"[[0.0, 6.14], [0.0, 6.98], [-0.8936, 0.8007], [-0.5843, 0.7154], [0.0, 1.0], [-0.8195, 0.8099], [-0.5136, 0.5868], [0.0, 1.0]]",5.0,"[112.056, 472.576, 832.776, 1193.0, 1552.624]","[1.0, 1.0, 1.0, 1.0, 1.0]","[360.52, 360.2, 360.22, 359.62]",3.0,112.056,"[0.5200000000000387, 0.7199999999999136, 0.94399999999996, 0.5679999999999836]",,1817.304,[],178.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",0.19532892262975,ok,"[52.3, 7.4, 9.4, 7.0, 8.6, 8.5, 7.8, 9.2, 6.0, 8.2, 8.2, 6.7, 5.8, 8.2, 8.1, 8.0, 7.5, 5.8, 8.1, 7.0, 8.2, 0.0, 8.2, 8.5, 8.9, 8.0, 6.0, 8.4, 8.6, 9.0, 8.2, 6.6]","[1350.7, 44.4, 49.1, 36.5, 36.2, 32.6, 30.4, 41.0, 28.2, 35.1, 33.0, 25.2, 22.2, 34.8, 29.9, 28.6, 27.0, 22.5, 30.9, 25.0, 29.8, 103.0, 34.3, 31.3, 30.5, 27.0, 20.9, 34.8, 32.3, 29.9, 29.5, 33.6]","['AF4', 'F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']","['AF3', 'CP2']",30.0,6.028851596320498e-05,"{'frontal': 12, 'central': 8, 'parietal': 9, 'occipital': 1}",0.94399999999996,,,
p06,EEGfNIRSeye_p6-p10/p06/p06.csv,587485080,True,42,[],492417,True,249.9999999988063,True,0.004000000000132786,1969.664,32,"[32, 492417]",0,17.574543098332118,10.058008296522942,673.473807987042,[],8,"[[0.0, 5.35], [0.0, 5.3], [-0.6967, 0.8839], [-0.5663, 0.8394], [0.0, 0.9995], [-0.7301, 0.7445], [-0.3718, 0.7304], [0.0, 1.0]]",5.0,"[149.192, 509.444, 869.3, 1229.412, 1589.604]","[1.0, 1.0, 1.0, 1.0, 1.0]","[360.25, 359.86, 360.11, 360.19]",3.0,149.192,"[0.25200000000000955, 0.10799999999994725, 0.22000000000002728, 0.41200000000003456]",,1820.472,[],178.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",0.11295547634349157,ok,"[9.2, 7.5, 10.2, 6.7, 8.7, 8.4, 7.4, 9.0, 5.5, 8.4, 8.9, 6.6, 5.6, 8.3, 7.9, 8.0, 7.6, 5.6, 7.9, 7.0, 8.0, 7.7, 7.8, 8.0, 48.7, 7.7, 6.7, 8.2, 8.5, 8.6, 8.1, 7.3]","[72.0, 51.3, 78.0, 41.7, 49.4, 41.2, 36.2, 54.4, 31.5, 46.8, 45.0, 30.0, 29.5, 46.8, 35.6, 36.2, 34.7, 28.0, 39.7, 32.3, 37.0, 33.8, 37.5, 37.2, 2135.8, 33.9, 30.6, 36.4, 36.4, 32.9, 35.1, 38.1]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']",['PZ'],31.0,0.00023337720710718234,"{'frontal': 13, 'central': 9, 'parietal': 8, 'occipital': 1}",0.41200000000003456,,,
p07,EEGfNIRSeye_p6-p10/p07/p07.csv,631444868,True,42,[],530835,True,249.9999999988063,True,0.00400000000036016,2123.336,32,"[32, 530835]",0,213.18512440465452,113.37592256372449,778.976451945266,[],8,"[[0.0, 6.39], [0.0, 6.54], [-0.8069, 0.8562], [-0.6102, 0.7598], [0.0, 0.9999], [-0.8053, 0.7475], [-0.5956, 0.8564], [0.0, 1.0]]",5.0,"[299.264, 666.328, 1019.984, 1380.576, 1744.24]","[1.0, 1.0, 1.0, 1.0, 1.0]","[367.06, 353.66, 360.59, 363.66]",3.0,299.264,"[7.0639999999999645, 0.7200000000000273, 1.3119999999998981, 4.975999999999885]",,1824.0719999999997,[],178.0,0.9269662921348315,"{'challenge_1': 1.0, 'challenge_2': 0.917, 'recovery_1': 0.917, 'recovery_2': 0.857, 'working_baseline': 0.944}",-0.06737650200726497,ok,"[20.1, 19.2, 45.8, 16.8, 16.9, 16.6, 15.8, 16.3, 13.8, 16.3, 15.3, 13.8, 12.2, 15.1, 14.2, 14.2, 13.4, 12.2, 13.7, 12.5, 13.3, 12.8, 13.1, 13.0, 13.0, 12.2, 10.6, 13.1, 13.0, 12.0, 10.3, 10.4]","[184.3, 194.8, 1692.9, 197.6, 114.4, 111.4, 114.6, 118.2, 111.1, 116.9, 109.6, 110.1, 107.5, 110.7, 106.3, 119.7, 160.1, 107.7, 112.7, 104.5, 109.2, 108.1, 102.7, 104.9, 103.0, 103.3, 102.2, 102.1, 103.7, 104.6, 104.5, 101.7]","['AF3', 'AF4', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']",['F7'],31.0,9.338165385837293e-05,"{'frontal': 12, 'central': 9, 'parietal': 9, 'occipital': 1}",7.0639999999999645,"74-row (eye rows 66-73, markers row 74)",True,
p08,EEGfNIRSeye_p6-p10/p08/p08.csv,578496151,True,42,[],486287,True,249.9999999988063,True,0.004000000000132786,1945.144,32,"[32, 486287]",0,43.40864920057004,21.366835357920458,93.81152708881909,[],8,"[[0.0, 5.62], [0.0, 5.71], [-0.5312, 0.6827], [-0.4973, 0.7815], [0.0, 1.0], [-0.6028, 0.6016], [-0.5005, 0.7043], [0.0, 1.0]]",5.0,"[120.54, 480.692, 840.9, 1200.844, 1560.844]","[1.0, 1.0, 1.0, 1.0, 1.0]","[360.15, 360.21, 359.94, 360.0]",3.0,120.54,"[0.1519999999999868, 0.36000000000001364, 0.3040000000000873, 0.3040000000000873]",,1824.604,[],178.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",-0.1608812536970109,ok,"[11.3, 10.2, 12.8, 8.8, 10.1, 9.7, 8.6, 10.0, 6.4, 10.0, 9.4, 7.7, 6.7, 9.2, 8.6, 8.5, 8.2, 6.7, 8.6, 8.0, 8.1, 8.0, 7.5, 8.0, 8.2, 7.5, 5.9, 8.7, 8.2, 7.4, 6.9, 6.6]","[104.4, 99.8, 102.6, 73.5, 60.5, 52.1, 53.0, 53.7, 40.6, 53.9, 45.5, 38.2, 35.8, 43.4, 35.8, 33.7, 33.6, 35.7, 38.3, 31.4, 32.6, 30.7, 29.9, 31.3, 29.5, 28.3, 24.9, 31.4, 29.2, 27.8, 27.6, 29.7]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8', 'OZ']",[],32.0,7.38378388288997e-05,"{'frontal': 13, 'central': 9, 'parietal': 9, 'occipital': 1}",0.36000000000001364,"74-row (eye rows 66-73, markers row 74)",True,
p09,EEGfNIRSeye_p6-p10/p09/p09.csv,622679764,True,42,[],525542,True,249.9999999988063,True,0.00400000000036016,2102.164,32,"[32, 525542]",0,267.8439972031663,135.47726437026986,3849.5108597683698,[],8,"[[0.0, 6.07], [0.0, 5.46], [-0.7128, 0.8173], [-0.7965, 0.743], [0.0, 1.0], [-0.8645, 0.7118], [-0.5746, 0.8672], [0.0, 1.0]]",5.0,"[276.964, 636.544, 1003.34, 1356.46, 1721.536]","[1.0, 1.0, 1.0, 1.0, 1.0]","[359.58, 366.8, 353.12, 365.08]",3.0,276.964,"[-0.4199999999999591, 6.37600000000009, -0.5039999999999054, 4.572000000000116]",,1825.2000000000003,[],177.0,0.9887005649717514,"{'challenge_1': 1.0, 'challenge_2': 0.972, 'recovery_1': 1.0, 'recovery_2': 0.971, 'working_baseline': 1.0}",-0.19222375367799827,ok,"[18.2, 18.2, 20.7, 158.8, 14.9, 141.6, 13.8, 21.6, 311.4, 18.5, 14.3, 12.3, 13.4, 15.4, 12.8, 12.3, 12.0, 12.9, 13.1, 11.2, 12.2, 11.3, 13.5, 12.0, 11.5, 10.5, 12.7, 11.7, 11.7, 10.6, 11.8, 69.0]","[129.9, 194.4, 104.5, 4473.1, 70.5, 12564.4, 70.9, 113.2, 11166.8, 72.8, 61.9, 57.0, 59.7, 64.1, 65.6, 57.1, 53.2, 72.0, 55.1, 47.9, 55.4, 49.9, 53.3, 50.6, 49.7, 45.6, 64.5, 47.5, 47.2, 43.8, 50.6, 3866.6]","['AF3', 'AF4', 'F7', 'F3', 'F4', 'FT7', 'FC5', 'FC3', 'FC4', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8']","['F8', 'FZ', 'FT8', 'OZ']",28.0,0.00012430704392413794,"{'frontal': 10, 'central': 9, 'parietal': 9, 'occipital': 0}",6.37600000000009,"74-row (eye rows 66-73, markers row 74)",True,
p10,EEGfNIRSeye_p6-p10/p10/p10.csv,614796522,True,42,[],516193,True,249.9999999988063,True,0.00400000000036016,2064.768,32,"[32, 516193]",0,335.35252592226846,182.82054164421407,2871.4209802924174,[],8,"[[0.0, 5.45], [0.0, 6.0], [-0.9403, 0.6965], [-0.9166, 0.62], [0.0, 0.9999], [-0.7658, 0.5897], [-0.929, 0.7987], [0.0, 1.0]]",5.0,"[244.364, 605.48, 965.736, 1325.508, 1685.444]","[1.0, 1.0, 1.0, 1.0, 1.0]","[361.12, 360.26, 359.77, 359.94]",3.0,244.364,"[1.1159999999999854, 1.3719999999999573, 1.1440000000000055, 1.0799999999999272]",,1820.404,[],177.0,1.0,"{'challenge_1': 1.0, 'challenge_2': 1.0, 'recovery_1': 1.0, 'recovery_2': 1.0, 'working_baseline': 1.0}",-0.15382901306841423,ok,"[14.9, 14.1, 14.4, 13.2, 11.7, 11.1, 10.7, 11.8, 7.5, 10.6, 10.5, 210.5, 7.2, 10.0, 10.1, 9.9, 9.2, 7.2, 9.9, 8.6, 9.9, 9.2, 10.5, 9.9, 9.8, 9.1, 7.3, 9.3, 9.3, 8.8, 8.0, 156.9]","[177.3, 173.7, 135.9, 141.3, 90.2, 77.5, 82.7, 81.6, 62.7, 64.2, 58.4, 3853.7, 46.6, 52.8, 54.5, 45.0, 43.2, 44.8, 45.5, 38.6, 41.7, 38.3, 43.9, 42.4, 44.6, 35.4, 30.2, 39.7, 40.9, 36.3, 36.0, 2823.4]","['AF3', 'AF4', 'F7', 'F8', 'F3', 'FZ', 'F4', 'FT7', 'FT8', 'FC5', 'FC3', 'FC6', 'C5', 'C1', 'CZ', 'C2', 'C6', 'CP3', 'CP4', 'CP1', 'CP2', 'P7', 'P3', 'PZ', 'P4', 'P8', 'PO7', 'PO3', 'PO4', 'PO8']","['FC4', 'OZ']",30.0,7.848947495155836e-05,"{'frontal': 12, 'central': 9, 'parietal': 9, 'occipital': 0}",1.3719999999999573,"74-row (eye rows 66-73, markers row 74)",True,[]
