pid,feature,cycle,bin_s,hr_gate,reference,ref_median,ref_scale,scale_flag,n_ch_valid,n_rc_valid,resp_magnitude,excess_integral_recovery,abs_z_burden_challenge,abs_z_burden_recovery,residual_360,slope_z_per_min_0_180,exp_tau_s,exp_r2,exp_note,band,k,t_depart,return_time,status,censored,observed_recovery_s
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,4,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,4,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,1.5,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.0,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,A,,,True,0,0,,,,,,,,,insufficient bins,2.5,4,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,4,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,4,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,2,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,3,,,not_estimable,False,360.0
p01,hr,1,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,1.5,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.0,4,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,2,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,3,,,not_estimable,False,360.0
p01,hr,2,10,0.3,B,,,True,0,0,,,,,,,,,insufficient bins,2.5,4,,,not_estimable,False,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",1.5,2,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",1.5,3,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",1.5,4,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.0,2,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.0,3,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.0,4,10.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.5,2,20.0,310.0,returned,False,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.5,3,20.0,,censored,True,360.0
p01,abs_err,1,10,,A,41.0,17.7912,False,36,36,360.5,57370.0,6225.549709968974,3224.6279059310223,7.531813480821979,-3.026507556454322,,0.2027257850668207,"rejected (r2=0.20, tau=14, b=441.47)",2.5,4,20.0,,censored,True,360.0
p01,abs_err,2,10,,A,41.0,17.7912,False,36,35,338.5,43280.0,6950.627276406313,2443.3427762039664,,-5.408455315926878,56.989176900817576,0.840373973310007,accepted,1.5,2,10.0,220.0,returned,False,360.0
